Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GOOGL,Alphabet Inc. Class A Common Stock,$171.805,-3.775,-2.15%,2103065005000.00,United States,2004,7147907,Technology,Computer Software: Programming Data Processing
GRAB,Grab Holdings Limited Class A Ordinary Shares,$4.655,-0.075,-1.586%,18171923902.00,Singapore,,16326216,Consumer Discretionary,Business Services
HBAN,Huntington Bancshares Incorporated Common Stock,$17.56,0.03,0.171%,25511368044.00,United States,,3897998,Finance,Major Banks
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,$25.80,-0.02,-0.077%,37482533914.00,United States,,2507,Finance,Major Banks
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,$22.98,-0.0637,-0.276%,33385605788.00,United States,,3409,Finance,Major Banks
HBANP,Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,$19.32,-0.18,-0.923%,28068316093.00,United States,,7874,Finance,Major Banks
HLNE,Hamilton Lane Incorporated Class A Common Stock,$191.5006,-1.6794,-0.869%,10615676049.00,United States,2017,49177,Finance,Investment Managers
HOLX,Hologic Inc. Common Stock,$77.765,0.225,0.29%,18062624770.00,United States,1990,364902,Health Care,Medical Electronics
HON,Honeywell International Inc. Common Stock,$230.46,0.92,0.401%,149856011195.00,United States,,751393,Industrials,Aerospace
HOOD,Robinhood Markets Inc. Class A Common Stock,$31.91,-0.31,-0.962%,28207664236.00,United States,2021,4589138,Finance,Investment Bankers/Brokers/Service
HST,Host Hotels & Resorts Inc. Common Stock,$17.38,-0.08,-0.458%,12149128782.00,United States,,1433602,Real Estate,Real Estate Investment Trusts
HTHT,H World Group Limited American Depositary Shares,$35.835,0.475,1.343%,11320442595.00,China,2010,152469,Consumer Discretionary,Hotels/Resorts
IBKR,Interactive Brokers Group Inc. Class A Common Stock,$178.65,0.75,0.422%,19451247463.00,United States,2019,203616,Finance,Investment Bankers/Brokers/Service
ICLR,ICON plc Ordinary Shares,$189.08,-10.94,-5.469%,15598170861.00,Ireland,1998,473518,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IDXX,IDEXX Laboratories Inc. Common Stock,$409.065,-14.585,-3.443%,33496150079.00,United States,1991,163979,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ILMN,Illumina Inc. Common Stock,$134.825,-7.415,-5.213%,21383245000.00,United States,2000,1512628,Health Care,Medical Specialities
INCY,Incyte Corp. Common Stock,$74.76,-2.97,-3.821%,14402532615.00,United States,,1244652,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INSM,Insmed Incorporated Common Stock,$67.515,-3.745,-5.255%,12078617208.00,United States,,541310,Health Care,Biotechnology: Pharmaceutical Preparations
INTC,Intel Corporation Common Stock,$24.34,-0.69,-2.757%,104978420000.00,United States,,11189144,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$682.03,-18.73,-2.673%,191167552760.00,United States,1993,458976,Technology,Computer Software: Prepackaged Software
ISRG,Intuitive Surgical Inc. Common Stock,$532.3811,-5.4189,-1.008%,189623204726.00,United States,2000,446527,Health Care,Industrial Specialties
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$182.11,-2.40,-1.301%,18362142923.00,United States,,98427,Industrials,Trucking Freight/Courier Services
JD,JD.com Inc. American Depositary Shares,$34.035,0.685,2.054%,53507038989.00,China,2014,5774598,Consumer Discretionary,Other Specialty Stores
JKHY,Jack Henry & Associates Inc. Common Stock,$172.07,-0.38,-0.22%,12554111053.00,United States,1985,142655,Technology,EDP Services
KDP,Keurig Dr Pepper Inc. Common Stock,$32.275,-1.105,-3.31%,43779541521.00,United States,,2381398,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$30.45,-1.34,-4.215%,36819375522.00,United States,,5295081,Consumer Staples,Packaged Foods
KLAC,KLA Corporation Common Stock,$619.25,-25.75,-3.992%,82830742527.00,United States,1980,459156,Technology,Electronic Components
KSPI,Joint Stock Company Kaspi.kz American Depository Shares,$110.235,-0.005,-0.005%,20871174514.00,Kazakhstan,2024,27699,,
LAMR,Lamar Advertising Company Class A Common Stock,$126.18,-0.97,-0.763%,12915508087.00,United States,1996,73806,Real Estate,Real Estate Investment Trusts
LBRDA,Liberty Broadband Corporation Class A Common Stock,$87.91,-1.38,-1.546%,12557775944.00,United States,,23578,Telecommunications,Cable & Other Pay Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,$88.51,-1.21,-1.349%,12643484800.00,United States,,109269,Telecommunications,Cable & Other Pay Television Services
LECO,Lincoln Electric Holdings Inc. Common Shares,$207.04,-0.47,-0.226%,11682398253.00,United States,,19672,Industrials,Industrial Machinery/Components
LI,Li Auto Inc. American Depositary Shares,$22.40,0.17,0.765%,23455267696.00,China,2020,1928271,Consumer Discretionary,Auto Manufacturing
LIN,Linde plc Ordinary Shares,$449.31,-4.18,-0.922%,213942507397.00,United States,,511824,Industrials,Major Chemicals
LINE,Lineage Inc. Common Stock,$62.91,-0.23,-0.364%,14369381934.00,United States,2024,376095,Real Estate,Real Estate Investment Trusts
LNT,Alliant Energy Corporation Common Stock,$60.56,1.06,1.782%,15539647673.00,United States,,326387,Utilities,Power Generation
LOGI,Logitech International S.A. Ordinary Shares,$77.95,-0.29,-0.371%,12373604495.00,United States,1997,72751,Technology,Computer peripheral equipment
LPLA,LPL Financial Holdings Inc. Common Stock,$313.51,-1.03,-0.327%,23475496812.00,United States,2010,58432,Finance,Investment Bankers/Brokers/Service
LRCX,Lam Research Corporation Common Stock,$71.48,-3.31,-4.426%,91972243800.00,United States,1984,3507498,Technology,Industrial Machinery/Components
LULU,lululemon athletica inc. Common Stock,$323.64,-6.62,-2.004%,41391119638.00,Canada,2007,305755,Consumer Discretionary,Apparel
MANH,Manhattan Associates Inc. Common Stock,$273.75,-6.00,-2.145%,16719357626.00,United States,1998,52480,Technology,Computer Software: Prepackaged Software
MAR,Marriott International Class A Common Stock,$279.36,-2.66,-0.943%,77632309164.00,United States,,271778,Consumer Discretionary,Hotels/Resorts
MCHP,Microchip Technology Incorporated Common Stock,$63.735,-1.865,-2.843%,34226347264.00,United States,1993,1366967,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$279.275,-12.315,-4.223%,20629891766.00,United States,2017,352054,Technology,Computer Software: Prepackaged Software
MDLZ,Mondelez International Inc. Class A Common Stock,$64.18,-1.38,-2.105%,85821127222.00,United States,,1959971,Consumer Staples,Packaged Foods
MELI,MercadoLibre Inc. Common Stock,$1859.58,-16.62,-0.886%,94275824603.00,Argentina,2007,126811,Consumer Discretionary,Business Services
META,Meta Platforms Inc. Class A Common Stock,$563.46,-13.70,-2.374%,1422448308804.00,United States,2012,4319564,Technology,Computer Software: Programming Data Processing
MMYT,MakeMyTrip Limited Ordinary Shares,$97.99,-5.04,-4.892%,10757585803.00,India,2010,233721,Consumer Discretionary,Transportation Services
MNDY,monday.com Ltd. Ordinary Shares,$261.015,-7.885,-2.932%,12769872542.00,Israel,2021,266261,Technology,Computer Software: Prepackaged Software
MNST,Monster Beverage Corporation,$53.775,-2.185,-3.905%,52297244663.00,United States,,2152029,Consumer Staples,Beverages (Production/Distribution)
MORN,Morningstar Inc. Common Stock,$338.15,-4.84,-1.411%,14501285805.00,United States,2005,13215,Finance,Investment Managers
MPWR,Monolithic Power Systems Inc. Common Stock,$576.61,-0.18,-0.031%,28127035800.00,United States,2004,447081,Technology,Semiconductors
MRNA,Moderna Inc. Common Stock,$36.8999,-2.8701,-7.217%,14199738744.00,United States,2018,9138389,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRVL,Marvell Technology Inc. Common Stock,$89.3378,-1.3622,-1.502%,77384402360.00,United States,2000,2172835,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$416.39,-10.50,-2.46%,3095810006319.00,United States,1986,8738105,Technology,Computer Software: Prepackaged Software
MSTR,MicroStrategy Incorporated Common Stock Class A,$331.74,4.07,1.242%,67225196860.00,United States,1998,7920175,Technology,Computer Software: Prepackaged Software
MU,Micron Technology Inc. Common Stock,$97.09,-2.09,-2.107%,107647826995.00,United States,,4988709,Technology,Semiconductors
NBIX,Neurocrine Biosciences Inc. Common Stock,$118.92,-3.955,-3.219%,12040282656.00,United States,1996,221006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NDAQ,Nasdaq Inc. Common Stock,$78.295,0.235,0.301%,45000646605.00,United States,,522146,Finance,Investment Bankers/Brokers/Service
NDSN,Nordson Corporation Common Stock,$254.99,-1.57,-0.612%,14580719100.00,United States,,96619,Industrials,Industrial Machinery/Components
NFLX,Netflix Inc. Common Stock,$820.57,-16.69,-1.993%,350759304605.00,United States,2002,1026137,Consumer Discretionary,Consumer Electronics/Video Chains
NICE,NICE Ltd American Depositary Shares,$177.635,-4.555,-2.50%,11168031288.00,Israel,,240532,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$117.36,-0.71,-0.601%,24033296381.00,United States,1995,444784,Technology,Electronic Components
NTES,NetEase Inc. American Depositary Shares,$85.07,0.85,1.009%,54628264344.00,China,,803005,Technology,Computer Software: Prepackaged Software
NTNX,Nutanix Inc. Class A Common Stock,$69.04,-2.05,-2.884%,18310418953.00,United States,2016,360980,Technology,Computer Software: Prepackaged Software
NTRA,Natera Inc. Common Stock,$144.385,-6.725,-4.45%,19061825518.00,United States,2015,602375,Health Care,Medical Specialities
NTRS,Northern Trust Corporation Common Stock,$106.45,0.49,0.462%,21100357515.00,United States,,665551,Finance,Major Banks
NVDA,NVIDIA Corporation Common Stock,$142.97,-3.79,-2.582%,3507054100000.00,United States,1999,79969700,Technology,Semiconductors
NWS,News Corporation Class B Common Stock,$31.99,0.16,0.503%,18191989354.00,United States,,311341,Consumer Discretionary,Newspapers/Magazines
NWSA,News Corporation Class A Common Stock,$29.065,-0.045,-0.155%,16528608021.00,United States,,876443,Consumer Discretionary,Newspapers/Magazines
NXPI,NXP Semiconductors N.V. Common Stock,$220.60,-3.36,-1.50%,56066720948.00,Netherlands,2010,485426,Technology,Semiconductors
ODFL,Old Dominion Freight Line Inc. Common Stock,$217.135,-6.295,-2.817%,46357787479.00,United States,1991,349303,Industrials,Trucking Freight/Courier Services
OKTA,Okta Inc. Class A Common Stock,$73.65,-3.28,-4.264%,12510340424.00,United States,2017,407013,Technology,Computer Software: Prepackaged Software
ON,ON Semiconductor Corporation Common Stock,$65.2152,-1.8048,-2.693%,27768465079.00,United States,,857348,Technology,Semiconductors
ORLY,O'Reilly Automotive Inc. Common Stock,$1217.30,-7.10,-0.58%,70275572589.00,United States,1993,72002,Consumer Discretionary,Auto & Home Supply Stores
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,$17.25,0.11,0.642%,12138291268.00,United States,1998,844230,Energy,Natural Gas Distribution
PANW,Palo Alto Networks Inc. Common Stock,$386.82,-7.57,-1.919%,125948592000.00,United States,,627749,Technology,Computer peripheral equipment
PARAA,Paramount Global Class A Common Stock,$22.5245,-0.0555,-0.246%,15023282352.00,United States,,4388,Industrials,Broadcasting
PAYX,Paychex Inc. Common Stock,$143.15,-2.69,-1.844%,51519401706.00,United States,1983,345745,Consumer Discretionary,Diversified Commercial Services
PCAR,PACCAR Inc. Common Stock,$112.36,-2.70,-2.347%,58910410247.00,United States,,475791,Consumer Discretionary,Auto Manufacturing
PCTY,Paylocity Holding Corporation Common Stock,$199.645,-5.855,-2.849%,11129563497.00,United States,2014,200081,Technology,Computer Software: Prepackaged Software
PCVX,Vaxcyte Inc. Common Stock,$86.14,-6.54,-7.057%,10736192072.00,United States,2020,1683152,Health Care,Biotechnology: Pharmaceutical Preparations
PDD,PDD Holdings Inc. American Depositary Shares,$113.84,1.51,1.344%,156629358072.00,China,2018,2756256,Consumer Discretionary,Business Services
PEP,PepsiCo Inc. Common Stock,$159.35,-5.80,-3.512%,218626451134.00,United States,,2341149,Consumer Staples,Beverages (Production/Distribution)
PFG,Principal Financial Group Inc Common Stock,$86.48,0.12,0.139%,19780212632.00,United States,2001,161549,Finance,Accident &Health Insurance
PODD,Insulet Corporation Common Stock,$258.305,-2.855,-1.093%,18118746106.00,United States,2007,269476,Health Care,Medical/Dental Instruments
POOL,Pool Corporation Common Stock,$363.79,6.30,1.762%,13844220167.00,United States,1995,209509,Consumer Discretionary,Industrial Specialties
PPC,Pilgrim's Pride Corporation Common Stock,$50.745,0.415,0.825%,12032809730.00,United States,,143147,Consumer Staples,Meat/Poultry/Fish
PTC,PTC Inc. Common Stock,$188.95,-2.16,-1.13%,22699551897.00,United States,,179886,Technology,Computer Software: Prepackaged Software
PYPL,PayPal Holdings Inc. Common Stock,$85.15,-0.64,-0.746%,85366181204.00,United States,,1913844,Consumer Discretionary,Business Services
QCOM,QUALCOMM Incorporated Common Stock,$161.67,-2.30,-1.403%,179615370000.00,United States,1991,1631021,Technology,Radio And Television Broadcasting And Communications Equipment
QRTEP,Qurate Retail Inc. 8.0% Fixed Rate Cumulative Redeemable Preferred Stock,$40.9599,0.0399,0.098%,16259033288.00,United States,,3325,Consumer Discretionary,Catalog/Specialty Distribution
REG,Regency Centers Corporation Common Stock,$73.84,0.18,0.244%,13402358441.00,United States,1993,398747,Real Estate,Real Estate Investment Trusts
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$758.96,-23.55,-3.01%,83401758448.00,United States,1991,275265,Health Care,Biotechnology: Pharmaceutical Preparations
ROKU,Roku Inc. Class A Common Stock,$70.125,-4.195,-5.645%,10182095793.00,United States,2017,1212220,Telecommunications,Cable & Other Pay Television Services
ROP,Roper Technologies Inc. Common Stock,$552.57,-12.20,-2.16%,59251611968.00,United States,1992,106762,Industrials,Industrial Machinery/Components
ROST,Ross Stores Inc. Common Stock,$141.015,-1.315,-0.924%,46783489502.00,United States,1985,495726,Consumer Discretionary,Clothing/Shoe/Accessory Stores
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$25.755,0.385,1.518%,15174402576.00,United States,2020,928903,Health Care,Biotechnology: Pharmaceutical Preparations
RYAAY,Ryanair Holdings plc American Depositary Shares,$44.50,-0.58,-1.287%,24452630651.00,Ireland,1997,263788,Consumer Discretionary,Air Freight/Delivery Services
