Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$460.31,-23.65,-4.887%,118543307480.00,United States,1991,646240,Health Care,Biotechnology: Pharmaceutical Preparations
VTRS,Viatris Inc. Common Stock,$12.545,-0.075,-0.594%,14973622956.00,United States,,1408591,Health Care,Biotechnology: Pharmaceutical Preparations
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$9.455,-0.405,-4.108%,23194675992.00,United States,,7057748,Telecommunications,Cable & Other Pay Television Services
WDAY,Workday Inc. Class A Common Stock,$259.47,-12.02,-4.427%,68759550000.00,United States,,608872,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,$62.71,-0.51,-0.807%,21679377088.00,United States,,725037,Technology,Electronic Components
WIX,Wix.com Ltd. Ordinary Shares,$180.2835,-3.7265,-2.025%,10307275531.00,Israel,2013,108978,Technology,Computer Software: Programming Data Processing
WMG,Warner Music Group Corp. Class A Common Stock,$32.935,-0.395,-1.185%,17057657885.00,United States,2020,85015,Consumer Discretionary,Services-Misc. Amusement & Recreation
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,$312.42,-2.38,-0.756%,31468651962.00,United Kingdom,2001,118626,Finance,Specialty Insurers
WWD,Woodward Inc. Common Stock,$171.325,-1.565,-0.905%,10221116723.00,United States,,33239,Energy,Industrial Machinery/Components
WYNN,Wynn Resorts Limited Common stock,$91.6455,-1.3245,-1.425%,10064048016.00,United States,2002,731658,Consumer Discretionary,Hotels/Resorts
XEL,Xcel Energy Inc. Common Stock,$69.55,0.64,0.929%,39938513365.00,United States,,877472,Utilities,Power Generation
Z,Zillow Group Inc. Class C Capital Stock,$72.46,-1.85,-2.49%,16923695647.00,United States,,1219307,Consumer Discretionary,Business Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,$386.69,-7.97,-2.019%,19945481027.00,United States,1991,94043,Industrials,Industrial Machinery/Components
ZG,Zillow Group Inc. Class A Common Stock,$70.22,-1.78,-2.472%,16400523162.00,United States,2011,118711,Consumer Discretionary,Business Services
ZM,Zoom Video Communications Inc. Class A Common Stock,$81.16,-1.47,-1.779%,24980172689.00,United States,2019,484949,Technology,Computer Software: Programming Data Processing
ZS,Zscaler Inc. Common Stock,$199.39,-9.11,-4.369%,30404982097.00,United States,2018,455085,Technology,EDP Services
