종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"001390","KG케미칼","KOSPI",,"3550","90","2.60","3425","3565","3370","169018","581708760","243065092000","68469040"
"226360","KH 건설","KOSDAQ","투자주의환기종목(소속부없음)","2555","0","0.00","0","0","0","0","0","60698450260","23756732"
"111870","KH 미래물산","KOSDAQ","관리종목(소속부없음)","8910","0","0.00","0","0","0","0","0","43928518590","4930249"
"033180","KH 필룩스","KOSPI",,"6630","0","0.00","0","0","0","0","0","125330728770","18903579"
"060720","KH바텍","KOSDAQ","우량기업부","8500","260","3.16","8160","8540","8110","82811","690972030","201258257000","23677442"
"015590","KIB플러그에너지","KOSPI",,"542","23","4.43","519","548","518","3217094","1728606314","128443996848","236981544"
"001940","KISCO홀딩스","KOSPI",,"20250","150","0.75","19990","20250","19700","11738","234113920","327571695000","16176380"
"058400","KNN","KOSDAQ","우량기업부","749","26","3.60","714","750","714","108848","79253828","99189860280","132429720"
"025000","KPX케미칼","KOSPI",,"44350","-400","-0.89","44950","44950","43950","11350","502432850","214654000000","4840000"
"092230","KPX홀딩스","KOSPI",,"53400","-300","-0.56","53700","53700","52900","4565","242607200","225596096400","4224646"
"000040","KR모터스","KOSPI",,"473","-1","-0.21","475","480","441","392479","180812413","28442846564","60132868"
"044450","KSS해운","KOSPI",,"9050","50","0.56","9000","9080","8800","48943","438625220","208927214000","23085880"
"101000","KS인더스트리","KOSDAQ","중견기업부","2190","5","0.23","2180","2195","2100","95450","204698325","66027665610","30149619"
"030200","KT","KOSPI",,"41500","350","0.85","41750","42700","41400","633204","26537261350","10458899927500","252021685"
"033780","KT&G","KOSPI",,"118100","-2700","-2.24","121500","122000","115700","296532","35399155100","14964745895700","126712497"
"058850","KTcs","KOSPI",,"2675","55","2.10","2585","2700","2560","385503","1012734930","114182375000","42685000"
"058860","KTis","KOSPI",,"2525","35","1.41","2490","2540","2465","138209","346243290","87875050000","34802000"
"122450","KX","KOSDAQ","우량기업부","3480","140","4.19","3335","3505","3335","53079","183439195","157769154720","45335964"
"052900","KX하이텍","KOSDAQ","우량기업부","870","35","4.19","841","880","840","211601","182333069","47943539790","55107517"
"376190","LB루셈","KOSDAQ","중견기업부","3745","-45","-1.19","3650","3785","3650","11961","44108975","92127000000","24600000"
"061970","LB세미콘","KOSDAQ","우량기업부","3435","100","3.00","3330","3450","3330","117310","397573190","150400073520","43784592"
"309960","LB인베스트먼트","KOSDAQ","중견기업부","3720","0","0.00","3700","3740","3600","83000","302168480","86368129080","23217239"
"093050","LF","KOSPI",,"14570","510","3.63","14300","14660","14140","55235","792894580","426026800000","29240000"
